pa_id,game_id,inning_half,inning,offense_team,batter,pitcher,outcome,hit_type,pa_flag,ab_flag,hit_flag,walk_flag,hbp_flag,k_flag,pitches_in_pa,swings_in_pa,whiffs_in_pa,contacts_in_pa,is_first_pitch_swing,is_first_pitch_strike,is_first_pitch_in_play,two_strike_swings,two_strike_whiffs,two_strike_contacts,two_strike_pa_flag,outs_before,outs_on_pa,risp_flag,two_out_flag,runner_adv_or_score_flag,rbi_flag,batted_ball_pos,spray_x,spray_y
39,Crossroads_3_2_26,Top,3,East Wake Academy Varsity Eagles,E Mason,T Wilson,Walk,,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,,,
40,Crossroads_3_2_26,Top,3,East Wake Academy Varsity Eagles,R Johnston,T Wilson,Single,Single,1,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,1,1,1,1,SS,-15.000,135.000
41,Crossroads_3_2_26,Top,3,East Wake Academy Varsity Eagles,D Benton,T Wilson,Double,Double,1,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,2,0,0,1,1,1,RF,140.000,235.000
42,Crossroads_3_2_26,Top,3,East Wake Academy Varsity Eagles,L Collier,T Wilson,Single,Single,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,2,0,1,1,0,0,LF,-140.000,235.000
43,Crossroads_3_2_26,Top,3,East Wake Academy Varsity Eagles,J Bailey,T Wilson,Ground Out,,1,1,0,0,0,0,9,5,0,5,0,1,0,4,0,4,1,2,1,1,1,0,0,1B,70.000,100.000
44,Crossroads_3_2_26,Bottom,2,Crossroads Christian,T Taylor,L Collier,Strikeout,,1,1,0,0,0,1,4,2,2,0,1,1,0,1,1,0,1,0,1,0,0,0,0,,,
45,Crossroads_3_2_26,Bottom,2,Crossroads Christian,B Reagle,L Collier,Strikeout,,1,1,0,0,0,1,5,3,3,0,1,1,0,1,1,0,1,1,1,0,0,0,0,,,
46,Crossroads_3_2_26,Bottom,2,Crossroads Christian,J Douglas,L Collier,Walk,,1,0,0,1,0,0,6,2,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,,,
47,Crossroads_3_2_26,Bottom,2,Crossroads Christian,R Wilson,L Collier,Ground Out,,1,1,0,0,0,0,3,2,1,1,1,1,0,0,0,0,0,2,1,0,1,0,0,SS,-15.000,135.000
48,Crossroads_3_2_26,Top,2,East Wake Academy Varsity Eagles,,T Wilson,Runner Out,,0,0,0,0,0,0,5,2,1,1,0,1,0,1,0,1,1,0,2,0,0,0,0,,,
49,Crossroads_3_2_26,Top,2,East Wake Academy Varsity Eagles,C Mason,T Wilson,Fly Out,,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,2,1,0,1,0,0,SS,-15.000,135.000
50,Crossroads_3_2_26,Top,2,East Wake Academy Varsity Eagles,N Rodriguez,T Wilson,Single,Single,1,1,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,LF,-140.000,235.000
51,Crossroads_3_2_26,Top,2,East Wake Academy Varsity Eagles,C Leonard,T Wilson,Pop Out,,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,3,0,1,0,0,0,C,0.000,20.000
52,Crossroads_3_2_26,Top,2,East Wake Academy Varsity Eagles,A Gardner,T Wilson,Dropped 3rd Strike,,1,1,0,0,0,1,5,1,1,0,0,1,0,1,1,0,1,3,0,1,0,1,0,,,
53,Crossroads_3_2_26,Top,2,East Wake Academy Varsity Eagles,E Mason,T Wilson,Walk,,1,0,0,1,0,0,6,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,,,
54,Crossroads_3_2_26,Bottom,1,Crossroads Christian,A Smith,L Collier,Ground Out,,1,1,0,0,0,0,4,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2B,15.000,135.000
55,Crossroads_3_2_26,Bottom,1,Crossroads Christian,T Wilson,L Collier,Fly Out,,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,CF,0.000,265.000
56,Crossroads_3_2_26,Bottom,1,Crossroads Christian,B Adcock,L Collier,Strikeout,,1,1,0,0,0,1,5,3,2,1,0,0,0,1,1,0,1,2,1,0,1,0,0,,,
57,Crossroads_3_2_26,Bottom,1,Crossroads Christian,E Smith,L Collier,Single,Single,1,1,1,0,0,0,4,3,0,3,0,0,0,1,0,1,1,3,0,0,0,0,0,1B,70.000,100.000
58,Crossroads_3_2_26,Top,1,East Wake Academy Varsity Eagles,R Johnston,T Wilson,Strikeout,,1,1,0,0,0,1,4,2,2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,,,
59,Crossroads_3_2_26,Top,1,East Wake Academy Varsity Eagles,D Benton,T Wilson,Walk,,1,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,
60,Crossroads_3_2_26,Top,1,East Wake Academy Varsity Eagles,L Collier,T Wilson,Strikeout,,1,1,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,,,
61,Crossroads_3_2_26,Top,1,East Wake Academy Varsity Eagles,J Bailey,T Wilson,Strikeout,,1,1,0,0,0,1,6,1,1,0,0,0,0,1,1,0,1,2,1,0,1,0,0,,,
